sector_name,Sector_match
Adipic acid production,Chemical & Allied Product MFG
Agriculture other,Other Industrial Processes
Agriculture/Forestry/Fishing: National fishing,Other Industrial Processes
Agriculture/Forestry/Fishing: Off-road vehicles and other machinery,Other Industrial Processes
Agriculture/Forestry/Fishing: Stationary,Other Industrial Processes
Aluminium production,Metals Processing
Ammonia production,Chemical & Allied Product MFG
Animal manure applied to soils,Other Industrial Processes
Asphalt roofing,Other Industrial Processes
Biological treatment of waste - Anaerobic digestion at biogas facilities,Waste disposal & recycling
Biological treatment of waste - Composting,Waste disposal & recycling
Biological treatment of waste - Solid waste disposal on land,Waste disposal & recycling
Carbide production,Chemical & Allied Product MFG
Cement production,Chemical & Allied Product MFG
Chemical industry: Other,Chemical & Allied Product MFG
Chemical products,Chemical & Allied Product MFG
Clinical waste incineration,Waste disposal & recycling
Coating applications,Metals Processing
Commercial/institutional: Mobile,Other Industrial Processes
Commercial/institutional: Stationary,Other Industrial Processes
Construction and demolition,Other Industrial Processes
Consumption of POPs and heavy metals  (e.g. electrical and scientific equipment),Metals Processing
Copper production,Metals Processing
Cremation,Other Industrial Processes
Crop residues applied to soils,Other Industrial Processes
Cultivated crops,Other Industrial Processes
Degreasing,Waste disposal & recycling
Distribution of oil products,Storage & Transport
Domestic aviation cruise (civil),Off Highway
Domestic aviation LTO (civil),Off Highway
Domestic solvent use including fungicides,Solvent Utilization
Domestic wastewater handling,Waste disposal & recycling
Dry cleaning,Chemical & Allied Product MFG
"Farm-level agricultural operations including storage, handling and transport of agricultural products",Storage & Transport
Ferroalloys production,Metals Processing
Field burning of agricultural residues,PRESCRIBED FIRES
Food and beverages industry,Other Industrial Processes
Forest fires,WILDFIRES
Fugitive emission from solid fuels: Coal mining and handling,Fuel Comb Industrial
Fugitive emission from solid fuels: Solid fuel transformation,Fuel Comb Industrial
"Fugitive emissions from natural gas (exploration, production, processing, transmission, storage, distribution and other)",Fuel Comb Other
"Fugitive emissions oil: Exploration, production, transport",Fuel Comb Industrial
Fugitive emissions oil: Refining / storage,Fuel Comb Industrial
Glass production,Other Industrial Processes
Hazardous waste incineration,Waste disposal & recycling
Indirect emissions from managed soils,Fuel Comb Other
Industrial waste incineration,Waste disposal & recycling
Industrial wastewater handling,Waste disposal & recycling
Inorganic N-fertilizers (includes also urea application),Other Industrial Processes
International aviation cruise (civil),Off Highway
International aviation LTO (civil),Off Highway
International inland waterways,Off Highway
International maritime navigation,Off Highway
Iron and steel production,Metals Processing
Lead production,Metals Processing
Lime production,Chemical & Allied Product MFG
Magnesium production,Metals Processing
Manufacture of solid fuels and other energy industries,Fuel Comb Elec Util
Manure management -  Other poultry,Other Industrial Processes
Manure management - Buffalo,Other Industrial Processes
Manure management - Dairy cattle,Other Industrial Processes
Manure management - Goats,Other Industrial Processes
Manure management - Horses,Other Industrial Processes
Manure management - Mules and asses,Other Industrial Processes
Manure management - Non-dairy cattle,Other Industrial Processes
Manure management - Other animals,Other Industrial Processes
Manure management - Sheep,Other Industrial Processes
Manure management - Swine,Other Industrial Processes
Manure mangement -  Broilers,Other Industrial Processes
Manure mangement -  Laying hens,Other Industrial Processes
